绑工资卡可以分期吗,绑可以分期
额我直播打游戏不需要了,我直播不需要
这个是原装正品未拆封未激活的吗,这个是未拆封
手机是全新未拆封的吗,手机是未拆封
手机尺寸多少,手机尺寸多少
你们客服太忙了吧这么久才回信息,客服太忙才回信息
明天能发货吗我这个六要罢工了充不进电了,能发货要罢工充不进电
可开正式发票不,可开正式发票不
产品品名可以开成电脑内存条不,可以开成电脑内存条
怎么还是扣1399呢,还是扣1399
应该是1299,应该是1299
花呗一次性扣了,花呗一次性扣
那还有优惠100是怎么呢,那还有100是怎么呢
这上写着下单可减100的,上写下单可减100
噢那就是1399啦,那就是1399
这个怎么验证真伪,怎么验证真伪
你家支持苹果店检测吗,家支持苹果店检测
7天内未拆封退货,未拆封退货
手机收到没问题吧,手机收到没问题
我是说我寄过去的,我是说我寄过去
会伤电池不,会伤电池不
这个灯光面积大不大,面积大不大
手机送什么了,手机送什么
多送点撒我现在就下单,多送点撒就下单
运行内存是3g,内存是3g
可以买碎屏险嘛,可以买碎屏险
你这里可以单买碎屏险嘛,单买碎屏险
为什么664是移动版,664是移动版
你这个是正品吗,这个是正品
1449元手机有什么赠品,手机有什么赠品
你好请问我这个订单多久发货,你好请问多久发货
小度音响播放音乐是用什么播放器,是用什么播放器
那说的那个QQ音乐是怎么回事,音乐是怎么回事
绝对不能是翻新机哦,不能是翻新机哦
我这老是联网失败,老是联网失败
我把手机寄去修屏幕回来听筒坏了,寄去修屏幕回来听筒坏
都是送什么礼品,都是送什么礼品
底下这个图片只能选一样吗,只能选一样
店里面省100块钱了,100块钱
6和8有什么区别,有什么区别
UD版就是8咯,版就是8咯
华为旗舰店都是二千以上,都是二千以上
快递单号给错了,快递单号给错
我买的小爱不好用换一个天猫精,小爱不好用换一个天猫精
这花呗能多分两期吗,花呗多分两期
额度是有的,额度是有的
花呗分6期是0利息吗,期是0利息
6是多少利息,6是多少利息
儿子就看上这款游戏手机了,就看上游戏手机
3499那个,3499那个
如果是3期也就是说直接重花呗里扣对吗,如果是里扣对
好吧你稍等我和儿子说一下,稍等说一下
稍后联系你,稍后联系你
要不我就弄分6期的吧,就弄分6期
这是要付完款在选礼品的,这是在选礼品
后面这个发给我儿子的,这个发给我儿子
万利达水壶,万利达水壶
这个是免费的,这个是免费
得多长时间就发回太原来了,就发回太原来
这款手机有没有相机里的慢动作功能,手机有没有慢动作功能
套餐四送游戏手柄吗,四送游戏手柄
正品行货全国联保吗,正品行货全国联保
你们为什么卖99,为什么卖99
那我能取消这笔交易吗,能取消这笔交易
你看旗舰店,你看旗舰店
我现在可以点击退款吗,可以点击退款
那我退款理由选什么,我退款理由选什么
我提交了你看看,我提交你看看
多久能到账呢,多久能到账
减30有什么礼品,减有什么礼品
减50是不是花呗的分期付款,是不是分期付款
5928拍下你们送无线充电器移动电源还有就是你刚发我图片里的,5928拍下你们送移动电源还有就是刚发图片里
密码对的但是连不上WiFi,但是连不上WiFi
我试了热点也不行换了个家也连不上,我试热点不行换个家也连不上
套餐一包括哪些,一包括哪些
现在购买送什么,现在购买送什么
送一年店铺延保等于是质量问题保修2年吗,送等于是保修2年
嗯超1年了拿到售后免费保修不,超1年拿到免费保修不
超1年换配件也免费吧,换配件也免费
我看到好多买过的说你家买了有好多都是激活过的怕自己也中奖了,我看到好多买
不会也给我发别人激活过退货的吧,也给我发别人激活退货
买回来我会仔细检测并且查验生产日期激活时间要是发现是已经开封再打包激活过的那就肯定会退货的,买回来仔细检测并且查验生产日期要是发现是已经开封
送的东西要小米原装耳机吧8128蓝色标准套餐除了上面第二张图片上的还能送啥了,东西要原装耳机能送啥
能边充电边用耳机,边充电边用耳机
我用这么多年手机一直都是小米手机只是红米2碎过一次现在用的小米5尊享版和小米4s都保护的很好用不着买碎屏险,都是只是红米
算了吧碎了我自己买个换了我是做海信长虹TCL等电视售后的也经常卖延保一般买了的用户很少用得着,算了吧碎买个换我是做电视售后
我看有好多卖家说是送23年店铺保其实是只保软件硬件坏了还是要花钱的你说的是硬件也保,我看有好多卖家说是送23年店铺保其实是只保硬件坏
这个手机怎么挂不了电话非要别人挂才行是怎么回事,怎么挂不了是怎么回事
那100元让我们自己出是不是,元让出是不是
官方标配里面没有数据线跟耳机吗,里面没有数据线跟耳机
再次确定手机没问题吧,再次确定手机没问题
一个学生不要骗我哦,不要骗我哦
真的不能再便宜一点点吗,再便宜一点点
2700行不行,2700行不行
几十块钱就不要那啥了,就不要那啥
那再备注送我一个手机壳总可以吧,再备注送总可以
哪一个最贵噗哈哈哈,最贵噗哈哈哈
不要先看一下是不是正品,先看一下是不是正品
保温杯要粉色的,保温杯要粉色
你们肯定会这样说呀我还是得去实体店验一下,这样说得去实体店验一下
我以为随机送,我以为随机送
那现在怎么办,现在怎么办
我看一下昂,我看一下昂
那我分期的话花呗分几个月呢,花呗分几个月
花呗还860,花呗还860
要是能便宜点花呗付850现金付800的话我就下单可以吗,点花呗付现金付800就下单可以
那你送我个数据线OK不,你送个数据线OK不
那你说我怎么操作,你说怎么操作
质量有保证吗,质量有保证
我看看再说,我看看再说
我830下班,830下班
我9点15左右应该能到生活区,应该能到生活区
怎么开成个人的了呢,怎么开成个人
这边是可以以旧换新的吗,这边是可以以旧换新
新品nova4什么时候出什么价格,时候出什么价格
购买这款都有什么赠品,购买都有什么赠品
近两年前在贵店买过一台荣耀8老客户可以优惠吗,买8老客户可以优惠
6128GB,6128GB
可以拍个实物照片吗,可以拍实物照片
手机厚度是多少,厚度是多少
还没确认收货呢,没确认收货
刚才看了荣耀官方旗舰店比你们的便宜50,刚才看旗舰店比便宜50
6s是什么时候出厂的呀,6s是时候出厂
不要赠品能不能优惠些啊,不能优惠些
就是问问有没有发货了,就是问问有没有发货
为什么电话打不通,电话打不通
我都准备申请退款了,都准备申请退款
我花呗只有5O0元,我花呗只有5O0元
20pro有现货吗,pro有现货
也不是定制机吧,也不是定制机
能给我发全网通吗不要移动定制机,能给我发全网通不要移动定制机
今天不发货我就不要了,不发货就不要
退款了同意下,退款同意下
我好久没用苹果手机了,久没用苹果手机
不知道新出来的什么手机,不知道什么手机
max啥意思,max啥意思
x跟xs设计上面有什么区别,上面有什么区别
锁屏密码忘了怎么办,锁忘了怎么办
壁纸有千玺吗,壁纸有千玺
我到时候没时间取快递,到时候没时间取快递
明天拿不到,明天拿不到
那能快点发货不我,快点发货不我
你给我退款吧我去实体店买,退款我去实体店买
碎屏保能换不,碎屏保能换不
手机不是出现绿屏了,手机不是出现绿屏
碎屏保能换吗,碎屏保能换
上次买的手机送的100元米粉卡那个怎么用啊,米粉卡怎么用
你们这是全新未拆封机子吗,这是未拆封机子
6s听说早就停产了呀,6s听说早就停产
听一个卖手机朋友说6s早就停产了说这时候买不到全新的了搞得心都放不下花这个价钱再买个翻新机回来,听朋友说早就停产
你好我打电话问了那个售后不能检测,你好我打电话问不能检测
你们搞什么不是耽误时间吗,你们搞什么不是耽误时间
不好意思啊下的单怕是要退了快递我没收,要退快递我没收
你好小米8可以便宜多少啊,你好可以便宜多少
大概要多久,大概要多久
不用不用了我手机用了几年了从来没摔过,不用不用手机用几年
我从来碎过的真的不用了谢谢你的好意,真的不用谢谢好意
helo跟普通黑鲨有什么区别,有什么区别
那我双十二当天买的怎么是3398,怎么是3398
我花呗才1000额度,我花呗1000额度
麻烦帮我转一下碧桃,麻烦帮转一下碧桃
这个没有选择运行内存的怎么处理,没有选择运行内存怎么处理
Mate20pro有现货吗,Mate20pro有现货
我六月份买的魅族Pro7,魅族Pro7
打电话老是断线,打电话老是断线
充电线能不能发一个,不能发一个
这个现在有什么活动,现在有什么活动
1和2各选一个对吧,各选一个对
我应该以前买过其它手机,以前买其它手机
要是没记错的话双十一那会是有5699价格的,会是有5699价格
找老板申请一下呗合适我就下单付款,找申请一下呗
不合适反正还有手机用,不合适反正还有手机用
之前买冰箱洗衣机都有额外的优惠手机肯定也有啊,之前买冰箱洗衣机都有优惠手机也有
刚刚不是让我提交吗激动了一下终于可以用新手机了,刚刚不是让提交
我记得你们这个店应该很多年了,我记得店应该很多年
就便宜78块钱,就便宜78块钱
那价格合适的时候通知我,时候通知我
我现在用的手机还是我老公淘汰下来的我买个新手机,手机还是老公淘汰下来
我想用个新手机,我想用个新手机
那你说能再优惠多少,你说再优惠多少
没有便宜不买,没有便宜不买
有没有优惠券,有没有优惠券
有问题去苹果店里保修还是找你们保修,有去苹果店里保修还是找你们保修
无线充电车载充电充电宝都是什么套餐才有,都是什么套餐才有
应该是退回你们那边了,应该是退回你们那边
官网价不是5999吗,价不是5999
亲底座帮我寄的容量小的,亲底座帮容量小
手机到塔南了吗,手机到塔南
ud版跟普通版本有什么区别,有什么区别
华为我没用过,华为我没用过
我一直没用过这华为我不知道到底如何,一直没用过不知道到底如何
我用的苹果3年了6p跟我内存小了不然舍不得换,苹果3年内存小不然舍不得换
这配置是安卓最高的吓人,配置是吓人
不晓得到底如何,不晓得到底如何
恩恩就是呀,恩恩就是呀
太高了安卓反应始终没苹果快,太高始终没苹果快
你们发的是耳机还是充电器,是耳机还是充电器
裸机有充电器没,裸机有充电器没
你们这个是正品行货吗,这个是正品行货
